film,series,released,last_watched,service
Captain America: First Avenger,Marvel Cinematic Universe,2011 (July),2016-05-07,google play
Iron Man,Marvel Cinematic Universe,2008 (May),2016-05-11,google play
Incredible Hulk,Marvel Cinematic Universe,2008 (June),2016-05-29,google play
Iron Man 2,Marvel Cinematic Universe,2010 (May),watched,"theatre, xfinity"
Thor,Marvel Cinematic Universe,2011 (May),watched,"theatre, xfinity"
Avengers,Marvel Cinematic Universe,2012 (May),watched,"theatre, xfinity"
Iron Man 3,Marvel Cinematic Universe,2013 (May),watched,"theatre, xfinity"
Thor: The Dark World,Marvel Cinematic Universe,2013 (November),2018-04-11,youtube tv
Captain America: Winter Soldier,Marvel Cinematic Universe,2014 (April),watched,xfinity
Guardians of the Galaxy,Marvel Cinematic Universe,2014 (August),2017-05-06,"xfinity, youtube tv"
Avengers 2: Age of Ultron,Marvel Cinematic Universe,2015 (May),watched,theatre
Ant-Man,Marvel Cinematic Universe,2015 (July),watched,hbonow
Civil War: Captain America,Marvel Cinematic Universe,2016 (May),watched,netflix
Doctor Strange,Marvel Cinematic Universe,2016 (October),2018-04-07,youtube tv
Guardians of the Galaxy vol.2,Marvel Cinematic Universe,2017 (May),2018-04-11,netflix
Thor: Ragnarok,Marvel Cinematic Universe,2017 (November),-,-
Black Panther,Marvel Cinematic Universe,2018 (February),2018-02-12,theatre
Avengers 3: Infinity War,Marvel Cinematic Universe,2018 (March),-,-
X-Men,X-men,2000,watched,theatre
X2,X-men,2003,watched,theatre
X-Men: The Last Stand,X-men,2006,watched,theatre
X-Men Origins: Wolverine,X-men,2009,watched,theatre
X-Men: First Class,X-men,2011,watched,xifinity
The Wolverine,X-men,2013,-,-
X-Men: Days of Future Past,X-men,2014,watched,xfinity
Deadpool,X-men,2016,watched,hbonow
X-Men: Apocalypse,X-men,2016,-,-
Deadpool 2,X-men,2018,-,-
The Bourne Identity,Bourne,2002,watched,theatre
The Bourne Supremacy,Bourne,2004,watched,theatre
The Bourne Ultimatum,Bourne,2007,-,-
The Bourne Legacy,Bourne,2012,2018-04-07,youtube tv
Jason Bourne,Bourne,2016,,
Man of Steel,DC Extended Universe (DCEU),2013,-,-
Batman vs Superman,DC Extended Universe (DCEU),2016,-,-
Wonder Woman,DC Extended Universe (DCEU),2017 (June),-,-
Justice League,DC Extended Universe (DCEU),2017,watched,theatre
Aquaman,DC Extended Universe (DCEU),2018,-,-
Justice League: Part Two,DC Extended Universe (DCEU),2019,-,-
Wonder Woman 2,DC Extended Universe (DCEU),2019 (November),-,-
The Fallout,Mission: Impossible,2018-07-27,2018-11-25,Delta Air